,latitude,longitude,muncip
0,54.9387,9.0857,Aabenraa
1,56.8854,9.8384,Aalborg
2,56.0901,10.1194,Aarhus
3,55.6569,12.3638,Albertslund
4,55.85,12.1833,Allerød
5,55.2702,9.9008,Assens
6,55.7553,12.3233,Ballerup
7,55.7335,9.1079,Billund
8,55.1009,14.7066,Bornholm
9,55.6572,12.4736,Brøndby
10,57.3705,9.7147,Brønderslev
11,55.5945,12.6664,Dragør
12,55.8223,12.0862,Egedal
13,55.4703,8.4519,Esbjerg
14,55.0187,10.2845,Faaborg-Midtfyn
15,55.435,8.3679,Fanø
16,56.2529,10.1484,Favrskov
17,55.4426,11.7901,Faxe
18,56.0,12.5667,Fredensborg
19,55.5657,9.7526,Fredericia
20,55.6794,12.5346,Frederiksberg
21,57.4712,10.2031,Frederikshavn
22,55.7512,11.9608,Frederikssund
23,55.8394,12.2772,Furesø
24,55.7537,12.5918,Gentofte
25,55.7704,12.5038,Gladsaxe
26,55.6666,12.4038,Glostrup
27,55.5726,12.2258,Greve
28,56.0854,12.4505,Gribskov
29,54.7124,11.9255,Guldborgsund
30,55.3582,9.487,Haderslev
31,55.9962,11.9676,Halsnæs
32,55.7351,9.703,Hedensted
33,56.0854,12.4505,Helsingør
34,55.7157,12.398,Herlev
35,55.9381,9.1218,Herning
36,56.0228,12.1975,Hillerød
37,57.4407,10.5366,Hjørring
38,55.7343,11.5484,Holbæk
39,56.3423,8.3375,Holstebro
40,56.0399,9.9272,Horsens
41,55.6167,12.35,Hvidovre
42,55.647,12.1936,Høje-Taastrup
43,55.8349,12.5451,Hørsholm
44,55.9644,9.3932,Ikast-Brande
45,55.6154,12.3518,Ishøj
46,57.0813,9.2664,Jammerbugt
47,55.6795,11.0886,Kalundborg
48,55.449,10.6577,Kerteminde
49,55.5649,9.487,Kolding
50,55.6759,12.5655,København
51,55.4137,12.1433,Køge
52,54.7498,10.676,Langeland
53,55.7067,11.9002,Lejre
54,56.6985,8.2124,Lemvig
55,54.8365,11.4831,Lolland
56,55.7763,12.5901,Lyngby-Taarbæk
57,57.5448,10.4827,Læsø
58,56.6499,9.9751,Mariagerfjord
59,55.4843,9.908,Middelfart
60,56.7011,8.6946,Morsø
61,56.4308,10.3782,Norddjurs
62,55.4853,10.2554,Nordfyn
63,55.3565,10.5845,Nyborg
64,55.2571,12.0212,Næstved
65,55.9731,10.153,Odder
66,55.3902,10.5201,Odense
67,55.944,11.7527,Odsherred
68,56.3667,10.2494,Randers
69,56.8854,9.8384,Rebild
70,55.7798,8.2952,Ringkøbing-Skjern
71,55.4318,11.5555,Ringsted
72,55.5448,12.1239,Roskilde
73,55.881,12.5011,Rudersdal
74,55.6806,12.4537,Rødovre
75,55.8796,10.6076,Samsø
76,56.2405,9.5473,Silkeborg
77,56.2133,10.0344,Skanderborg
78,56.623,8.7447,Skive
79,55.306,11.5477,Slagelse
80,55.5726,12.2258,Solrød
81,55.4339,11.688,Sorø
82,55.3494,12.2338,Stevns
83,56.4751,8.7908,Struer
84,55.0732,10.4554,Svendborg
85,56.3015,10.4751,Syddjurs
86,54.8874,9.681,Sønderborg
87,56.8924,8.5244,Thisted
88,55.6759,12.5655,Tårnby
89,54.9634,8.6985,Tønder
90,55.6139,12.3895,Vallensbæk
91,55.7031,8.7586,Varde
92,55.5253,9.2076,Vejen
93,55.9381,9.1218,Vejle
94,56.7728,9.3393,Vesthimmerland
95,56.5856,9.1364,Viborg
96,54.9971,12.0298,Vordingborg
97,54.8562,10.5173,Ærø
